City,MiLB Team(s),AAA,AA,A,State,City Population Estimate,Metropolitan Area,Metropolitan Population Estimate,Median Household Income (City),NFL Team(s),MLB Team(s),NBA Team(s),NHL Team(s),NFL Count,MLB Count,NBA Count,NHL Count,MLS Count,MLS team(s),total_Pro_league
Warner Robins,0,0.0,0.0,0.0,Georgia,74002.0,"Warner Robins, GA",190000.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Brownsville,0,0.0,0.0,0.0,Texas,183888.0,"Brownsville-Harlingen, TX",423163.0,39000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Lorain,0,0.0,0.0,0.0,Ohio,63651.0,"Cleveland-Elyria, OH",2088251.0,50000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cicero,0,0.0,0.0,0.0,Illinois,83867.0,"Chicago-Naperville-Elgin, IL-IN-WI",9509934.0,50000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Carson,0,0.0,0.0,0.0,California,93296.0,"Los Angeles-Long Beach-Anaheim, CA",13200998.0,75000.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,LA Galaxy,1.0
Atascocita,0,0.0,0.0,0.0,Texas,78240.0,"Houston-The Woodlands-Sugar Land, TX",7122240.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Denton,0,0.0,0.0,0.0,Texas,131047.0,"Dallas-Fort Worth-Arlington, TX",7637387.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mesquite,0,0.0,0.0,0.0,Texas,145124.0,"Dallas-Fort Worth-Arlington, TX",7637387.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Redwood City,0,0.0,0.0,0.0,California,85300.0,"San Francisco-Oakland-Berkeley, CA",4749008.0,122274.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cedar Park,0,0.0,0.0,0.0,Texas,64837.0,"Austin-Round Rock-Georgetown, TX",2283371.0,101086.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Pembroke Pines,0,0.0,0.0,0.0,Florida,166624.0,"Miami-Fort Lauderdale-Pompano Beach, FL",6166488.0,68745.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Chesapeake,0,0.0,0.0,0.0,Virginia,235429.0,"Virginia Beach-Norfolk-Newport News, VA-NC",1799674.0,76000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Corona,0,0.0,0.0,0.0,California,164242.0,"Riverside-San Bernardino-Ontario, CA",4650631.0,83000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
